id,name,county,state,countyFips,lat,lng,confidence,sourceDate,agencyType,address,city,subStation,jurisdictionId,jurisdictionName
agency-building-burnsville-police-100-civic-center-parkway,Burnsville Police,Dakota County,MN,27037,44.7671630997261,-93.2749477014982,confirmed,,Police,100 CIVIC CENTER PARKWAY,BURNSVILLE,,agency-jurisdiction-burnsville-police,Burnsville Police
agency-building-eagan-police-3830-pilot-knob-road,Eagan Police,Dakota County,MN,27037,44.8182554999001,-93.1659860999533,confirmed,,Police,3830 PILOT KNOB ROAD,EAGAN,,agency-jurisdiction-eagan-police,Eagan Police
agency-building-south-saint-paul-police-125-third-avenue-north,South Saint Paul Police,Dakota County,MN,27037,44.8914141995335,-93.0375074005082,confirmed,,Police,125 THIRD AVENUE NORTH,SOUTH SAINT PAUL,,agency-jurisdiction-south-saint-paul-police,South Saint Paul Police
agency-building-west-saint-paul-police-1616-humboldt-avenue,West Saint Paul Police,Dakota County,MN,27037,44.8969541999452,-93.0844408015036,confirmed,,Police,1616 HUMBOLDT AVENUE,WEST SAINT PAUL,,agency-jurisdiction-west-saint-paul-police,West Saint Paul Police
agency-building-inver-grove-heights-police-8150-barbara-avenue,Inver Grove Heights Police,Dakota County,MN,27037,44.830866099954,-93.0619890000968,confirmed,,Police,8150 BARBARA AVENUE,INVER GROVE HEIGHTS,,agency-jurisdiction-inver-grove-heights-police,Inver Grove Heights Police
agency-building-apple-valley-police-7100-147th-street-west,Apple Valley Police,Dakota County,MN,27037,44.7346550993725,-93.2090355997834,confirmed,,Police,7100 147TH STREET WEST,APPLE VALLEY,,agency-jurisdiction-apple-valley-police,Apple Valley Police
agency-building-rosemount-police-2875-145th-street-west,Rosemount Police,Dakota County,MN,27037,44.7396368435662,-93.1237042455677,confirmed,,Police,2875 145TH STREET WEST,ROSEMOUNT,,agency-jurisdiction-rosemount-police,Rosemount Police
agency-building-farmington-police-19500-municipal-drive,Farmington Police,Dakota County,MN,27037,44.6664377003388,-93.1755808995017,confirmed,,Police,19500 MUNICIPAL DRIVE,FARMINGTON,,agency-jurisdiction-farmington-police,Farmington Police
agency-building-lakeville-police-9237-183rd-street,Lakeville Police,Dakota County,MN,27037,44.6850694088828,-93.2480481928976,confirmed,,Police,9237 183rd Street,Lakeville,,agency-jurisdiction-lakeville-police,Lakeville Police
agency-building-douglas-county-sheriff-216-7th-avenue-west,Douglas County Sheriff,Douglas County,MN,27041,45.8840746508816,-95.3803733419662,confirmed,,Sheriff,216 7TH AVENUE WEST,ALEXANDRIA,,,
agency-building-osakis-police-14-nokomis-street-east,Osakis Police,Douglas County,MN,27041,45.8668549998144,-95.1516607003742,confirmed,,Police,14 NOKOMIS STREET EAST,OSAKIS,,,
agency-building-alexandria-police-501-3rd-avenue-west,Alexandria Police,Douglas County,MN,27041,45.8922179906505,-95.3832439964915,confirmed,,Police,501 3rd Avenue West,ALEXANDRIA,,,
agency-building-zumbrota-police-50-west-2nd-street,Zumbrota Police,Goodhue County,MN,27049,44.2953822001569,-92.6700763998045,confirmed,,Police,50 WEST 2ND STREET,ZUMBROTA,,,
agency-building-cannon-falls-police-918-river-road,Cannon Falls Police,Goodhue County,MN,27049,44.5149249993391,-92.9091725985954,confirmed,,Police,918 RIVER ROAD,CANNON FALLS,,,
