id,name,county,state,countyFips,lat,lng,confidence,sourceDate,operator,operatorType,manufacturer,cameraType,direction,zone,surveillance,osmId,osmUrl,crossSourceSiteId,crossSourceCount,crossSourceMeters,crossSourceThresholdM,crossSourceContested,crossSourceAnchorAmbiguous,crossSourceAgencyName
alpr-osm-13318058501,ALPR camera — Minneapolis Police Department,Hennepin County,MN,27053,44.9700364,-93.2471353,probabilistic,,Minneapolis Police Department,Police department,Insight LPR,fixed,190;337,traffic,public,13318058501,https://www.openstreetmap.org/node/13318058501,,0,,50,false,false,
alpr-osm-13318073401,ALPR camera — Minneapolis Police Department,Hennepin County,MN,27053,44.9628743,-93.2449979,probabilistic,,Minneapolis Police Department,Police department,Insight LPR,fixed,0,traffic,public,13318073401,https://www.openstreetmap.org/node/13318073401,,0,,50,false,false,
alpr-osm-13318086401,ALPR camera — Minneapolis Police Department,Hennepin County,MN,27053,44.9624795,-93.2453029,probabilistic,,Minneapolis Police Department,Police department,Insight LPR,fixed,171,traffic,public,13318086401,https://www.openstreetmap.org/node/13318086401,,0,,50,false,false,
alpr-osm-13318087201,ALPR camera — Minneapolis Police Department,Hennepin County,MN,27053,44.9626225,-93.2449263,probabilistic,,Minneapolis Police Department,Police department,Insight LPR,fixed,89,traffic,public,13318087201,https://www.openstreetmap.org/node/13318087201,,0,,50,false,false,
alpr-osm-13318140001,ALPR camera,St. Louis County,MN,27137,47.5502313,-92.9776113,probabilistic,,,Not recorded,Flock Safety,fixed,108,traffic,public,13318140001,https://www.openstreetmap.org/node/13318140001,,0,,50,false,false,
alpr-osm-13318143201,ALPR camera — Lowe's,St. Louis County,MN,27137,47.4010059,-92.9530699,probabilistic,,Lowe's,Other or unclassified,Flock Safety,fixed,68,traffic,public,13318143201,https://www.openstreetmap.org/node/13318143201,,0,,50,false,false,
alpr-osm-13318380399,ALPR camera,Sherburne County,MN,27141,45.3924065,-93.5612445,probabilistic,,,Not recorded,Flock Safety,fixed,330,,,13318380399,https://www.openstreetmap.org/node/13318380399,,0,,50,false,false,
alpr-osm-13318380400,ALPR camera,Mille Lacs County,MN,27095,45.5722261,-93.5984814,probabilistic,,,Not recorded,Flock Safety,fixed,325,,,13318380400,https://www.openstreetmap.org/node/13318380400,,0,,50,false,false,
alpr-osm-13318423601,ALPR camera,Mille Lacs County,MN,27095,45.745861,-93.6694916,probabilistic,,,Not recorded,Flock Safety,fixed,45,,,13318423601,https://www.openstreetmap.org/node/13318423601,,0,,50,false,false,
alpr-osm-13318423602,ALPR camera,Mille Lacs County,MN,27095,46.1827566,-93.7568059,probabilistic,,,Not recorded,Flock Safety,fixed,155,,,13318423602,https://www.openstreetmap.org/node/13318423602,,0,,50,false,false,
